Date first seen,Date last seen,Proto,Src IP Addr,Dst IP Addr,Src Pt,Dst Pt,In Pkt,In Byte
2023-06-29 19:33:46.137,2023-06-29 19:33:46.137,ICMP ,        10.0.2.1,        10.0.3.2,0,8.0,1,98
2023-06-29 19:33:46.140,2023-06-29 19:33:46.140,ICMP ,        10.0.3.2,        10.0.2.1,0,0.0,1,98
2023-06-29 19:33:47.123,2023-06-29 19:33:47.123,ICMP ,        10.0.2.1,        10.0.3.2,0,8.0,1,98
2023-06-29 19:33:47.127,2023-06-29 19:33:47.127,ICMP ,        10.0.3.2,        10.0.2.1,0,0.0,1,98
2023-06-29 19:33:47.133,2023-06-29 19:34:16.426,ICMP ,        10.0.3.2,        10.0.2.1,0,0.0,9,882
2023-06-29 19:33:47.133,2023-06-29 19:34:16.426,ICMP ,        10.0.2.1,        10.0.3.2,0,8.0,9,882
2023-06-29 19:33:47.133,2023-06-29 19:34:26.463,ICMP ,        10.0.2.1,        10.0.3.2,0,8.0,10,980
2023-06-29 19:33:47.133,2023-06-29 19:34:26.467,ICMP ,        10.0.3.2,        10.0.2.1,0,0.0,10,980
2023-06-29 19:33:47.133,2023-06-29 19:34:36.519,ICMP ,        10.0.3.2,        10.0.2.1,0,0.0,10,980
2023-06-29 19:33:47.133,2023-06-29 19:34:36.519,ICMP ,        10.0.2.1,        10.0.3.2,0,8.0,10,980
2023-06-29 19:33:47.133,2023-06-29 19:34:46.924,ICMP ,        10.0.3.2,        10.0.2.1,0,0.0,10,980
2023-06-29 19:33:47.133,2023-06-29 19:34:46.924,ICMP ,        10.0.2.1,        10.0.3.2,0,8.0,10,980
2023-06-29 19:33:47.133,2023-06-29 19:34:57.048,ICMP ,        10.0.2.1,        10.0.3.2,0,8.0,10,980
2023-06-29 19:33:47.133,2023-06-29 19:34:57.052,ICMP ,        10.0.3.2,        10.0.2.1,0,0.0,10,980
2023-06-29 19:33:47.133,2023-06-29 19:35:07.105,ICMP ,        10.0.2.1,        10.0.3.2,0,8.0,10,980
